id,hostname,ip,sistema_operativo,ram_gb,cpu_cores,disco_gb,departamento,categoria_inventario,año_compra,activo
273,srv-eawm-0273,10.3.205.10,Windows Server 2022,64,1,1024,Marketing,Alimentación,2024,False
274,srv-ryna-0274,10.4.56.170,Red Hat 9,2,2,256,RRHH,Electrónica,2016,True
275,srv-dawh-0275,10.4.0.199,Windows Server 2019,8,1,120,RRHH,Deportes,2019,True
276,srv-nezu-0276,10.5.56.38,Ubuntu 20.04,2,2,512,IT,Deportes,2022,False
277,srv-fpjs-0277,10.3.12.193,Red Hat 9,64,16,512,RRHH,Hogar,2024,False
278,srv-hajw-0278,10.5.86.100,Ubuntu 22.04,64,16,512,Finanzas,Electrónica,2016,True
279,srv-iimv-0279,10.4.109.25,Ubuntu 20.04,8,2,2048,Finanzas,Alimentación,2015,True
280,srv-qenn-0280,10.4.40.148,Red Hat 9,32,2,120,Ventas,Deportes,2015,True
281,srv-bofo-0281,10.1.69.78,Windows Server 2022,2,2,512,IT,Deportes,2015,False
282,srv-ngvy-0282,10.0.247.83,CentOS 8,32,2,1024,Ventas,Alimentación,2020,True
283,srv-hjho-0283,10.1.98.13,Ubuntu 22.04,64,2,256,Logística,Alimentación,2023,True
284,srv-npsk-0284,10.2.70.84,Windows Server 2022,8,2,120,Marketing,Alimentación,2015,True
285,srv-rizg-0285,10.1.161.148,Red Hat 9,8,16,120,RRHH,Hogar,2016,True
286,srv-cekf-0286,10.5.10.201,CentOS 8,4,4,256,IT,Deportes,2020,True
287,srv-qiju-0287,10.0.155.22,Ubuntu 22.04,4,16,120,Finanzas,Alimentación,2024,True
288,srv-kube-0288,10.0.46.23,CentOS 8,32,8,120,Ventas,Alimentación,2022,True
289,srv-imkd-0289,10.3.9.109,Windows Server 2022,2,8,256,Logística,Alimentación,2023,True
290,srv-ifin-0290,10.0.76.57,CentOS 8,64,4,512,IT,Deportes,2015,False
291,srv-nsda-0291,10.3.170.83,Windows Server 2019,8,2,256,Marketing,Deportes,2020,True
292,srv-wdmb-0292,10.2.10.144,CentOS 8,32,2,256,Ventas,Hogar,2024,True
293,srv-ykzx-0293,10.0.224.215,CentOS 8,2,4,120,RRHH,Electrónica,2017,True
294,srv-zqyl-0294,10.2.218.63,Ubuntu 20.04,64,2,2048,Finanzas,Deportes,2021,True
295,srv-gdpz-0295,10.2.184.126,CentOS 8,8,2,512,Logística,Alimentación,2024,True
296,srv-omdv-0296,10.4.30.205,CentOS 8,16,1,256,Marketing,Hogar,2015,False
297,srv-uuwp-0297,10.3.87.113,CentOS 8,64,16,120,RRHH,Hogar,2015,True
298,srv-pyff-0298,10.2.153.58,Windows Server 2022,4,4,1024,IT,Alimentación,2022,True
299,srv-eocc-0299,10.5.60.163,Red Hat 9,4,1,2048,Operaciones,Alimentación,2015,False
300,srv-eawr-0300,10.5.214.180,Red Hat 9,16,16,2048,RRHH,Deportes,2019,True
301,srv-jmpz-0301,10.1.223.35,Ubuntu 20.04,8,16,256,IT,Alimentación,2022,True
302,srv-dowq-0302,10.1.199.147,Red Hat 9,16,16,120,Operaciones,Hogar,2020,False
303,srv-vllf-0303,10.1.23.22,Ubuntu 22.04,2,2,120,Ventas,Hogar,2019,True
304,srv-rpyn-0304,10.1.152.88,Windows Server 2019,8,1,512,Operaciones,Deportes,2022,True
305,srv-kicf-0305,10.5.59.69,Ubuntu 22.04,32,1,2048,Marketing,Deportes,2016,True
306,srv-aagn-0306,10.1.38.166,Ubuntu 22.04,64,16,1024,Finanzas,Deportes,2017,True
307,srv-rtbl-0307,10.4.203.123,Debian 11,2,8,120,RRHH,Deportes,2016,True
308,srv-oocx-0308,10.4.59.207,CentOS 8,32,1,1024,Operaciones,Electrónica,2021,True
309,srv-jlbp-0309,10.5.112.145,Windows Server 2019,64,4,1024,Ventas,Hogar,2023,False
310,srv-anlj-0310,10.3.123.63,Windows Server 2022,16,16,1024,Ventas,Alimentación,2015,True
311,srv-ugya-0311,10.3.67.184,Windows Server 2019,4,2,120,Logística,Alimentación,2022,False
312,srv-zhle-0312,10.5.90.216,Windows Server 2019,64,16,120,Logística,Hogar,2017,True
313,srv-rcsd-0313,10.4.23.176,Windows Server 2019,64,4,120,Logística,Electrónica,2022,False
314,srv-wmgo-0314,10.3.63.225,CentOS 8,64,1,512,Logística,Alimentación,2022,True
315,srv-yarm-0315,10.0.214.4,Windows Server 2022,64,16,256,Logística,Electrónica,2022,True
316,srv-grcz-0316,10.5.214.55,Windows Server 2019,32,8,512,IT,Deportes,2022,True
317,srv-wwui-0317,10.5.232.79,CentOS 8,64,16,256,Marketing,Electrónica,2021,True
318,srv-rtyb-0318,10.4.55.123,Windows Server 2019,64,2,512,RRHH,Deportes,2024,True
319,srv-ddmh-0319,10.3.251.26,Red Hat 9,64,16,512,Logística,Alimentación,2024,False
320,srv-akqg-0320,10.0.225.10,Red Hat 9,4,16,256,Operaciones,Alimentación,2024,True
321,srv-xliw-0321,10.5.30.221,Windows Server 2022,2,8,256,Marketing,Electrónica,2015,True
322,srv-akgn-0322,10.3.253.57,Debian 11,4,2,120,Logística,Hogar,2021,True
323,srv-omio-0323,10.0.214.199,Ubuntu 20.04,64,4,512,Operaciones,Alimentación,2017,True
324,srv-ejsg-0324,10.2.77.92,Debian 11,32,4,2048,IT,Electrónica,2023,True
325,srv-uhzr-0325,10.1.72.101,Debian 11,16,8,120,Finanzas,Deportes,2022,True
326,srv-tquf-0326,10.5.221.15,Ubuntu 20.04,64,4,1024,Operaciones,Hogar,2015,False
327,srv-khva-0327,10.0.167.140,Red Hat 9,4,2,120,IT,Electrónica,2016,True
328,srv-ukli-0328,10.3.28.74,Windows Server 2019,8,2,1024,IT,Electrónica,2018,True
329,srv-eubc-0329,10.4.118.151,Windows Server 2019,8,8,256,Operaciones,Hogar,2022,False
330,srv-icmc-0330,10.2.243.43,Windows Server 2019,32,16,256,Logística,Electrónica,2016,True
331,srv-caiq-0331,10.4.174.168,Debian 11,2,8,256,RRHH,Alimentación,2016,True
332,srv-nzrr-0332,10.3.104.231,Red Hat 9,2,2,2048,IT,Deportes,2023,True
333,srv-toss-0333,10.3.37.237,Windows Server 2022,64,1,2048,Marketing,Hogar,2022,True
334,srv-cfbr-0334,10.4.26.96,Red Hat 9,32,2,1024,IT,Alimentación,2018,True
335,srv-tial-0335,10.5.206.96,Ubuntu 22.04,64,4,512,RRHH,Deportes,2022,True
336,srv-drjh-0336,10.0.139.101,Ubuntu 20.04,2,4,512,Operaciones,Deportes,2018,True
337,srv-nopo-0337,10.5.50.24,Windows Server 2022,16,2,2048,Logística,Alimentación,2015,True
338,srv-excn-0338,10.2.35.252,Debian 11,16,2,256,IT,Deportes,2024,True
339,srv-tbpq-0339,10.4.35.57,Windows Server 2019,8,1,512,RRHH,Alimentación,2017,False
340,srv-bgqo-0340,10.4.5.137,Ubuntu 22.04,4,16,120,Ventas,Alimentación,2015,True
341,srv-sbmu-0341,10.5.224.6,Windows Server 2019,2,4,512,Finanzas,Electrónica,2022,True
342,srv-hpxf-0342,10.0.73.129,Debian 11,8,8,120,Ventas,Electrónica,2016,True
343,srv-ujwt-0343,10.4.157.72,Ubuntu 20.04,8,16,1024,Ventas,Electrónica,2017,True
344,srv-wqky-0344,10.0.31.154,Windows Server 2022,8,8,256,Operaciones,Electrónica,2018,False
345,srv-pywv-0345,10.2.88.40,Windows Server 2019,8,1,1024,Marketing,Electrónica,2021,False
346,srv-theh-0346,10.0.158.108,Ubuntu 22.04,32,16,512,Operaciones,Deportes,2018,True
347,srv-leid-0347,10.1.126.176,Windows Server 2022,64,16,2048,RRHH,Deportes,2023,True
348,srv-cmvx-0348,10.4.127.76,CentOS 8,2,8,2048,IT,Alimentación,2017,True
349,srv-oncn-0349,10.3.13.128,Windows Server 2019,4,2,2048,Logística,Deportes,2021,True
350,srv-uqta-0350,10.5.129.84,Ubuntu 20.04,2,1,1024,Logística,Electrónica,2020,True
351,srv-xvpy-0351,10.0.49.73,Windows Server 2022,64,1,1024,Logística,Hogar,2021,True
352,srv-cnfn-0352,10.3.225.235,Ubuntu 22.04,4,16,256,Operaciones,Electrónica,2021,True
353,srv-euqa-0353,10.1.36.28,Ubuntu 22.04,16,8,1024,IT,Hogar,2022,True
354,srv-jivh-0354,10.1.38.85,Windows Server 2022,4,1,1024,RRHH,Alimentación,2015,False
355,srv-nusq-0355,10.5.200.120,Ubuntu 20.04,2,16,120,Finanzas,Hogar,2023,True
356,srv-lcrm-0356,10.1.208.11,CentOS 8,64,1,512,Operaciones,Deportes,2023,True
357,srv-szax-0357,10.0.139.46,Ubuntu 20.04,4,4,1024,RRHH,Hogar,2024,True
358,srv-geew-0358,10.5.154.150,Red Hat 9,4,2,512,Logística,Deportes,2018,True
359,srv-gfyh-0359,10.5.217.225,Windows Server 2022,32,16,120,Marketing,Deportes,2024,True
360,srv-uynf-0360,10.4.13.34,Ubuntu 22.04,8,8,512,Ventas,Alimentación,2015,True
361,srv-pxmw-0361,10.2.30.6,Ubuntu 20.04,4,16,256,RRHH,Alimentación,2018,True
362,srv-foyx-0362,10.2.179.238,Ubuntu 22.04,32,8,1024,Finanzas,Electrónica,2016,True
363,srv-qxau-0363,10.1.139.107,Windows Server 2022,4,16,120,Operaciones,Hogar,2021,False
364,srv-krid-0364,10.5.42.189,Debian 11,2,2,1024,IT,Deportes,2015,True
365,srv-dbry-0365,10.5.128.32,Ubuntu 20.04,8,4,120,RRHH,Deportes,2022,True
366,srv-mhrf-0366,10.3.123.27,Windows Server 2022,32,8,1024,Operaciones,Alimentación,2023,False
367,srv-ekse-0367,10.4.4.33,Windows Server 2022,32,8,120,RRHH,Electrónica,2021,False
368,srv-chck-0368,10.2.154.253,Windows Server 2019,64,4,120,RRHH,Deportes,2016,True
369,srv-cfvt-0369,10.1.81.134,Debian 11,32,8,256,Operaciones,Electrónica,2019,True
370,srv-rgax-0370,10.3.6.15,Windows Server 2022,2,2,512,RRHH,Electrónica,2016,True
371,srv-ifdb-0371,10.1.7.105,Ubuntu 22.04,4,1,512,Marketing,Electrónica,2020,False
372,srv-fcce-0372,10.0.149.234,CentOS 8,8,2,512,Ventas,Electrónica,2017,True
373,srv-phas-0373,10.4.65.75,Ubuntu 22.04,2,4,120,Operaciones,Hogar,2017,True
374,srv-ehzu-0374,10.3.189.106,Windows Server 2019,64,16,256,Logística,Hogar,2020,False
375,srv-tsei-0375,10.3.212.77,Windows Server 2019,16,4,512,IT,Deportes,2019,False
376,srv-npqg-0376,10.2.52.148,CentOS 8,8,2,120,Marketing,Alimentación,2023,True
377,srv-ullj-0377,10.5.12.253,Ubuntu 20.04,64,16,512,RRHH,Deportes,2020,True
378,srv-ondg-0378,10.0.19.144,Windows Server 2022,8,8,512,Finanzas,Hogar,2024,False
379,srv-ciih-0379,10.5.239.124,Red Hat 9,8,2,512,RRHH,Deportes,2017,False
380,srv-irbi-0380,10.4.233.6,Ubuntu 20.04,16,16,120,Logística,Deportes,2019,True
381,srv-rtua-0381,10.1.140.215,Ubuntu 22.04,32,1,256,Operaciones,Alimentación,2021,True
382,srv-tgpg-0382,10.1.158.61,Ubuntu 20.04,2,1,256,Logística,Deportes,2015,True
383,srv-zzsp-0383,10.3.210.138,Red Hat 9,32,16,256,Ventas,Electrónica,2024,False
384,srv-bfpk-0384,10.2.121.39,Ubuntu 22.04,16,16,120,RRHH,Deportes,2023,True
385,srv-rmfo-0385,10.2.36.167,Red Hat 9,2,4,512,Ventas,Electrónica,2021,False
386,srv-fihl-0386,10.4.8.243,Windows Server 2019,2,1,1024,RRHH,Hogar,2023,True
387,srv-nzbu-0387,10.5.119.7,Red Hat 9,32,8,256,IT,Hogar,2023,False
388,srv-fxgt-0388,10.2.11.175,Ubuntu 22.04,64,4,2048,Marketing,Deportes,2015,False
389,srv-wvay-0389,10.1.21.90,Red Hat 9,4,8,1024,Operaciones,Deportes,2024,True
390,srv-xseo-0390,10.1.94.32,Ubuntu 20.04,16,4,256,IT,Deportes,2015,True
391,srv-gnva-0391,10.0.1.82,Ubuntu 22.04,4,4,512,Finanzas,Electrónica,2018,True
392,srv-qnbu-0392,10.3.198.121,Red Hat 9,8,16,120,Marketing,Hogar,2023,True
393,srv-ilrb-0393,10.5.124.17,Windows Server 2019,2,1,256,Logística,Hogar,2016,False
394,srv-kafg-0394,10.1.111.103,CentOS 8,8,4,256,Operaciones,Hogar,2023,True
395,srv-lcdh-0395,10.0.163.190,Red Hat 9,16,1,512,Logística,Electrónica,2018,False
396,srv-djwf-0396,10.2.74.13,Ubuntu 22.04,16,2,1024,RRHH,Alimentación,2016,True
397,srv-hfgp-0397,10.2.95.119,Windows Server 2022,4,1,256,Marketing,Deportes,2019,True
398,srv-suxt-0398,10.5.61.182,Red Hat 9,64,16,1024,Finanzas,Deportes,2024,True
399,srv-jymx-0399,10.0.108.226,Red Hat 9,2,1,256,Finanzas,Alimentación,2024,True
400,srv-yaxc-0400,10.5.8.134,Windows Server 2019,16,8,256,Logística,Deportes,2016,True
401,srv-zxvi-0401,10.5.117.12,Windows Server 2022,4,16,512,Finanzas,Hogar,2016,True
402,srv-ircm-0402,10.2.194.124,Windows Server 2019,8,2,120,RRHH,Alimentación,2020,True
403,srv-itah-0403,10.3.13.210,Ubuntu 20.04,8,1,256,Marketing,Alimentación,2019,True
404,srv-gqqm-0404,10.5.66.241,CentOS 8,4,4,256,Operaciones,Alimentación,2016,False
405,srv-weyp-0405,10.1.19.59,Windows Server 2019,8,2,256,Ventas,Deportes,2016,True
406,srv-vbot-0406,10.1.100.101,Ubuntu 20.04,16,4,2048,Finanzas,Deportes,2016,True
407,srv-bbxb-0407,10.2.93.138,Windows Server 2019,2,2,120,Marketing,Electrónica,2023,False
408,srv-vufi-0408,10.4.196.212,Windows Server 2019,32,16,512,RRHH,Deportes,2021,True
409,srv-fbtr-0409,10.1.138.240,CentOS 8,8,8,512,Marketing,Deportes,2022,True
410,srv-quyh-0410,10.2.42.175,Ubuntu 20.04,32,8,2048,Operaciones,Alimentación,2018,True
411,srv-rfqq-0411,10.1.117.83,Debian 11,64,8,1024,IT,Deportes,2021,False
412,srv-hmqz-0412,10.2.105.212,Debian 11,32,16,256,Marketing,Hogar,2022,True
413,srv-ydfh-0413,10.3.39.196,Windows Server 2019,4,8,2048,Marketing,Alimentación,2023,True
414,srv-dgaq-0414,10.5.144.98,Debian 11,2,4,512,Ventas,Electrónica,2020,True
415,srv-ulzs-0415,10.0.124.88,Debian 11,16,8,512,Operaciones,Deportes,2023,True
416,srv-txnd-0416,10.0.135.93,Ubuntu 22.04,4,2,1024,IT,Deportes,2024,True
417,srv-ijfj-0417,10.2.241.238,CentOS 8,16,2,2048,Marketing,Deportes,2018,False
418,srv-dfec-0418,10.3.110.15,Ubuntu 20.04,2,2,120,Marketing,Hogar,2023,True
419,srv-dllc-0419,10.0.68.114,Windows Server 2022,32,2,256,Finanzas,Alimentación,2015,True
420,srv-tmev-0420,10.5.193.89,CentOS 8,2,2,1024,IT,Electrónica,2021,True
421,srv-nibn-0421,10.4.186.7,Red Hat 9,16,16,512,Ventas,Deportes,2022,False
422,srv-ehbf-0422,10.5.227.162,Windows Server 2019,64,16,1024,Marketing,Electrónica,2020,True
423,srv-bpke-0423,10.5.7.201,Ubuntu 22.04,8,4,2048,IT,Alimentación,2021,False
424,srv-nrrw-0424,10.2.12.130,CentOS 8,2,1,2048,Operaciones,Electrónica,2016,False
425,srv-wztm-0425,10.4.44.65,Windows Server 2019,2,4,256,Operaciones,Hogar,2015,False
426,srv-edeh-0426,10.3.138.240,Ubuntu 22.04,32,4,120,IT,Electrónica,2020,False
427,srv-dqhv-0427,10.2.73.24,CentOS 8,2,16,512,Marketing,Alimentación,2017,True
428,srv-nnzp-0428,10.4.127.71,Red Hat 9,8,4,120,Finanzas,Alimentación,2021,True
429,srv-rzwi-0429,10.4.89.192,Red Hat 9,4,1,256,RRHH,Electrónica,2020,False
430,srv-nena-0430,10.2.90.179,CentOS 8,2,4,512,RRHH,Hogar,2024,False
431,srv-xqaw-0431,10.4.202.19,Debian 11,8,1,256,Ventas,Hogar,2016,True
432,srv-aajb-0432,10.5.19.73,CentOS 8,4,16,256,Marketing,Alimentación,2023,True
433,srv-gqou-0433,10.5.44.229,Windows Server 2022,16,4,512,IT,Deportes,2024,True
434,srv-fasu-0434,10.0.245.26,Ubuntu 22.04,32,8,2048,RRHH,Electrónica,2019,False
435,srv-lzah-0435,10.4.30.124,Windows Server 2019,4,4,120,Logística,Electrónica,2019,False
436,srv-pfkj-0436,10.0.222.163,Ubuntu 20.04,2,16,2048,Ventas,Alimentación,2021,True
437,srv-cvfs-0437,10.5.9.196,Windows Server 2019,8,1,256,Operaciones,Hogar,2019,True
438,srv-hhes-0438,10.1.47.94,Windows Server 2019,64,4,2048,IT,Alimentación,2017,False
439,srv-gmbb-0439,10.1.167.145,Debian 11,64,16,1024,Logística,Alimentación,2024,True
440,srv-guef-0440,10.0.237.245,Windows Server 2019,8,4,120,Ventas,Alimentación,2023,False
441,srv-eapn-0441,10.3.122.250,Debian 11,16,16,120,IT,Deportes,2016,True
442,srv-kiez-0442,10.5.3.101,Ubuntu 22.04,16,16,512,IT,Alimentación,2022,True
443,srv-oqvq-0443,10.4.96.105,Windows Server 2022,8,8,1024,Finanzas,Deportes,2018,True
444,srv-pshf-0444,10.4.227.27,Windows Server 2022,4,16,2048,Finanzas,Deportes,2016,True
445,srv-hrzz-0445,10.4.38.230,CentOS 8,32,1,120,Logística,Hogar,2017,False
446,srv-xnmr-0446,10.3.169.62,Windows Server 2019,4,16,120,Logística,Deportes,2023,True
447,srv-gumv-0447,10.2.90.29,CentOS 8,16,2,2048,RRHH,Electrónica,2018,True
448,srv-wgpl-0448,10.1.198.249,CentOS 8,16,16,2048,Marketing,Alimentación,2020,True
449,srv-efbk-0449,10.1.183.165,Windows Server 2019,4,1,512,Marketing,Electrónica,2015,False
450,srv-xmbo-0450,10.4.55.155,CentOS 8,2,2,256,Logística,Electrónica,2022,False
451,srv-plfo-0451,10.0.169.130,Ubuntu 20.04,2,1,1024,Logística,Deportes,2024,False
452,srv-bugr-0452,10.2.68.29,CentOS 8,64,8,2048,Operaciones,Electrónica,2021,True
453,srv-ldvq-0453,10.3.14.50,CentOS 8,4,2,2048,Operaciones,Alimentación,2018,True
454,srv-ujys-0454,10.5.14.163,Windows Server 2022,2,2,1024,Finanzas,Electrónica,2018,True
455,srv-ixtk-0455,10.5.133.35,Ubuntu 22.04,32,1,2048,Operaciones,Electrónica,2017,True
456,srv-qotp-0456,10.3.213.64,Windows Server 2019,2,4,512,Finanzas,Deportes,2021,True
457,srv-esrh-0457,10.4.87.25,Red Hat 9,64,1,2048,Ventas,Deportes,2020,True
458,srv-pddo-0458,10.0.2.160,Ubuntu 20.04,32,2,120,Logística,Deportes,2023,True
459,srv-gsvy-0459,10.5.86.219,CentOS 8,32,8,2048,Finanzas,Deportes,2018,True
460,srv-kdkc-0460,10.1.180.104,Windows Server 2019,2,16,2048,Logística,Hogar,2016,True
461,srv-deun-0461,10.0.221.127,Red Hat 9,4,2,2048,Logística,Electrónica,2019,True
462,srv-tvrr-0462,10.1.73.200,Ubuntu 22.04,8,16,120,RRHH,Hogar,2016,True
463,srv-lnph-0463,10.2.241.41,CentOS 8,64,1,2048,Operaciones,Hogar,2020,True
464,srv-fefq-0464,10.5.90.179,Ubuntu 20.04,64,8,120,Ventas,Hogar,2019,True
465,srv-woyj-0465,10.2.137.133,Ubuntu 20.04,8,16,256,Marketing,Hogar,2019,True
466,srv-ilfe-0466,10.0.117.82,Debian 11,64,1,512,Ventas,Deportes,2020,True
467,srv-zfoz-0467,10.1.44.174,Red Hat 9,32,4,512,Marketing,Hogar,2016,True
468,srv-pnuo-0468,10.1.223.117,Debian 11,8,2,1024,Operaciones,Hogar,2017,False
469,srv-sjaf-0469,10.1.2.60,Ubuntu 22.04,32,2,1024,Ventas,Alimentación,2017,True
470,srv-wxjl-0470,10.0.3.194,Ubuntu 22.04,2,1,256,Marketing,Deportes,2021,True
471,srv-vbah-0471,10.4.60.129,Windows Server 2022,16,4,1024,IT,Alimentación,2022,True
472,srv-ysif-0472,10.2.81.20,Ubuntu 22.04,16,4,120,IT,Deportes,2022,True
473,srv-vwee-0473,10.3.95.182,Ubuntu 22.04,16,16,512,Operaciones,Alimentación,2021,True
474,srv-fond-0474,10.2.22.196,Debian 11,16,2,1024,Operaciones,Electrónica,2023,False
475,srv-pacd-0475,10.2.160.190,Windows Server 2019,2,8,2048,Logística,Deportes,2024,False
476,srv-qgea-0476,10.3.254.18,Windows Server 2019,64,4,2048,Operaciones,Alimentación,2024,True
477,srv-xruu-0477,10.1.209.204,Ubuntu 22.04,32,4,2048,RRHH,Electrónica,2017,True
478,srv-mazf-0478,10.2.156.101,CentOS 8,64,1,1024,Ventas,Electrónica,2022,True
479,srv-yoqt-0479,10.2.178.249,Debian 11,4,2,1024,RRHH,Hogar,2018,True
480,srv-cmrq-0480,10.3.207.160,Windows Server 2019,32,2,120,IT,Hogar,2022,True
481,srv-otpm-0481,10.1.168.140,CentOS 8,16,16,1024,Logística,Electrónica,2022,False
482,srv-snnu-0482,10.3.137.168,CentOS 8,32,4,2048,RRHH,Electrónica,2017,True
483,srv-mjsu-0483,10.4.180.32,Windows Server 2022,16,16,256,Operaciones,Hogar,2022,True
484,srv-numk-0484,10.1.217.57,Debian 11,2,2,120,Logística,Deportes,2016,True
485,srv-ephp-0485,10.1.11.109,Ubuntu 22.04,32,1,120,Finanzas,Electrónica,2016,True
486,srv-lbtl-0486,10.1.238.151,Red Hat 9,64,8,1024,Ventas,Electrónica,2016,True
487,srv-plvi-0487,10.2.41.179,Ubuntu 20.04,32,1,120,Ventas,Deportes,2022,True
488,srv-pqmh-0488,10.3.73.126,Ubuntu 22.04,2,16,2048,Finanzas,Deportes,2024,True
489,srv-ydzn-0489,10.3.70.47,Ubuntu 22.04,64,2,120,Operaciones,Deportes,2019,True
490,srv-ykzn-0490,10.0.79.95,Ubuntu 22.04,16,8,512,RRHH,Electrónica,2019,False
491,srv-auik-0491,10.3.236.148,CentOS 8,2,2,2048,Operaciones,Deportes,2022,True
492,srv-ubjc-0492,10.3.95.13,Ubuntu 22.04,4,1,256,IT,Hogar,2019,False
493,srv-tlrc-0493,10.4.66.246,Red Hat 9,32,8,256,Logística,Alimentación,2023,True
494,srv-sozt-0494,10.4.188.63,Ubuntu 22.04,4,4,2048,IT,Deportes,2015,True
495,srv-klno-0495,10.0.220.101,Windows Server 2019,8,16,512,Logística,Electrónica,2023,True
496,srv-cbak-0496,10.2.223.247,Red Hat 9,8,8,1024,RRHH,Hogar,2016,False
497,srv-mybz-0497,10.0.68.222,Red Hat 9,8,4,256,Operaciones,Alimentación,2015,True
498,srv-xfdz-0498,10.2.194.49,Red Hat 9,4,4,256,Logística,Alimentación,2016,True
499,srv-kpxu-0499,10.5.180.27,Windows Server 2019,16,8,2048,Ventas,Deportes,2018,True
500,srv-lgmk-0500,10.2.86.69,Ubuntu 22.04,2,1,256,RRHH,Alimentación,2019,False
501,srv-jtaf-0501,10.1.102.24,CentOS 8,8,1,256,Logística,Electrónica,2022,False
502,srv-rsbj-0502,10.4.82.213,Ubuntu 22.04,32,16,256,RRHH,Deportes,2016,True
503,srv-qjwf-0503,10.2.236.75,Windows Server 2019,64,8,256,RRHH,Deportes,2015,False
504,srv-rknm-0504,10.0.237.187,Ubuntu 20.04,2,1,512,RRHH,Deportes,2016,True
505,srv-wokm-0505,10.3.214.117,Windows Server 2019,64,8,1024,Ventas,Alimentación,2023,True
506,srv-wqav-0506,10.0.242.208,CentOS 8,16,1,256,Finanzas,Electrónica,2018,True
507,srv-rixu-0507,10.0.109.200,Debian 11,32,4,2048,RRHH,Deportes,2019,True
508,srv-gdit-0508,10.4.205.169,CentOS 8,2,1,1024,RRHH,Electrónica,2018,True
509,srv-wfjn-0509,10.1.208.88,Ubuntu 20.04,64,1,256,Operaciones,Deportes,2023,True
510,srv-avou-0510,10.1.77.230,Windows Server 2019,32,1,120,Marketing,Electrónica,2017,False
511,srv-prlg-0511,10.1.159.118,CentOS 8,32,1,1024,Operaciones,Deportes,2017,True
512,srv-bafd-0512,10.5.239.26,Debian 11,2,8,120,Operaciones,Electrónica,2021,False
513,srv-mblg-0513,10.4.239.153,Windows Server 2022,4,8,1024,Finanzas,Electrónica,2023,True
514,srv-bunw-0514,10.1.235.182,Windows Server 2022,2,16,256,Marketing,Alimentación,2015,True
515,srv-slqn-0515,10.1.48.82,Red Hat 9,64,8,256,Finanzas,Electrónica,2017,True
516,srv-cfsz-0516,10.1.180.208,Red Hat 9,64,8,2048,Ventas,Alimentación,2024,True
517,srv-khmd-0517,10.3.82.185,Ubuntu 22.04,4,16,1024,Logística,Deportes,2016,True
518,srv-jony-0518,10.2.133.171,Windows Server 2022,32,8,1024,IT,Electrónica,2016,True
519,srv-nuyr-0519,10.3.198.108,Windows Server 2019,8,16,2048,IT,Electrónica,2022,True
520,srv-tvfm-0520,10.1.0.115,Ubuntu 22.04,4,4,2048,Ventas,Deportes,2018,True
521,srv-kdzi-0521,10.1.202.226,Ubuntu 22.04,16,8,256,Logística,Alimentación,2023,False
522,srv-itpr-0522,10.1.33.192,Ubuntu 22.04,32,2,256,RRHH,Electrónica,2016,False
523,srv-gbay-0523,10.0.171.210,Red Hat 9,8,2,120,Finanzas,Electrónica,2024,True
524,srv-pqpi-0524,10.0.149.167,Red Hat 9,8,16,2048,Finanzas,Deportes,2021,True
525,srv-auls-0525,10.3.226.168,Ubuntu 20.04,16,4,2048,Finanzas,Electrónica,2020,True
526,srv-dbwr-0526,10.1.48.16,Ubuntu 22.04,2,2,120,IT,Deportes,2020,True
527,srv-bujd-0527,10.1.124.25,Windows Server 2022,2,1,2048,RRHH,Alimentación,2017,False
528,srv-hrji-0528,10.5.227.63,Windows Server 2022,8,16,1024,IT,Hogar,2020,False
529,srv-jjcj-0529,10.0.107.70,Windows Server 2022,4,16,2048,Marketing,Electrónica,2024,True
530,srv-yhua-0530,10.2.109.91,CentOS 8,64,16,120,IT,Electrónica,2019,True
531,srv-jnom-0531,10.2.109.244,Ubuntu 20.04,32,2,120,Logística,Electrónica,2020,False
532,srv-kumy-0532,10.4.78.141,Windows Server 2019,16,1,512,RRHH,Deportes,2017,False
533,srv-xosk-0533,10.0.255.103,Debian 11,64,16,2048,RRHH,Alimentación,2023,False
534,srv-ytiy-0534,10.5.21.123,Debian 11,32,1,256,Logística,Deportes,2016,True
535,srv-njgj-0535,10.2.233.127,CentOS 8,4,8,512,Logística,Deportes,2017,True
536,srv-xqby-0536,10.5.132.185,Red Hat 9,64,8,120,Operaciones,Hogar,2021,True
537,srv-uqve-0537,10.1.118.55,Debian 11,8,8,1024,Ventas,Alimentación,2018,True
538,srv-suic-0538,10.4.171.194,Debian 11,8,2,1024,IT,Alimentación,2015,True
539,srv-obsz-0539,10.4.37.251,Red Hat 9,64,8,512,Ventas,Hogar,2017,True
540,srv-phzj-0540,10.1.88.91,Windows Server 2022,4,8,256,IT,Alimentación,2019,True
541,srv-devx-0541,10.4.160.213,Windows Server 2019,64,2,2048,Operaciones,Alimentación,2023,True
542,srv-fqfq-0542,10.4.202.69,Windows Server 2019,16,4,2048,Marketing,Hogar,2024,False
543,srv-neko-0543,10.4.170.81,CentOS 8,16,1,2048,Finanzas,Electrónica,2019,True
544,srv-nrnk-0544,10.5.32.228,Ubuntu 22.04,64,1,2048,Marketing,Alimentación,2021,True
545,srv-cgsu-0545,10.1.162.186,Ubuntu 20.04,2,1,120,Marketing,Electrónica,2020,True
546,srv-uyew-0546,10.4.51.27,Ubuntu 20.04,2,8,256,Operaciones,Deportes,2024,False
